Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Ilya Nikolayev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,415,2462,7590,14935,23631,32467,38921,43465,45265,46493,46110,45828,652407
Albert Johansson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,125,508,999349
Anttoni Honka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,247,861,2295,5320,10965,19522,28195,35475,40119,43790,813156
Maxim Cajkovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,999966
Nick Abruzzese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,963,2921,6126,9929,14113,965821
Matthew Robertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,2315,6960,14709,25683,39018,53734,66697,81630,92550,94914,89821,80002,351566
Alex Vlasic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,296,1057,2498,4647,7211,984243
Mikko Kokkonen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,41,116,347,779,1550,997155
Vladislav Kolyachonok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,73,307,1179,3433,6985,11210,15661,20473,940665
Michal Teply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,999995
Nicholas Robertson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,4509,14301,25082,34349,41314,46556,833583
Brett Leason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,355,1290,3303,5967,9906,14223,20309,944615
Nathan Legare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,999998
Ronnie Attard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,83,292,999592
Albin Grewe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849,10062,18758,27485,940846
Lassi Thomson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,83,289,929,998683
Drew Helleson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,999995
Marshall Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,999994
Yegor Spiridonov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
John Beecher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
Jamieson Rees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
Samuel Fagemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000
